,Cidade,latitude,longitude,altitude,maxtemp,mintemp,acumpre,nebulos
28,Deodápolis,-22.276,-54.165,418,33.34295654296875,19.334096908569336,1.1716414519469254e-05,0.0012038962449878454
29,Dois Irmãos do Buriti,-20.68,-55.296,320,35.51926803588867,19.306493759155273,0.004026329144835472,0.0030744262039661407
30,Douradina,-22.04,-54.613,553,34.23646545410156,18.902420043945312,0.0,0.0004197006346657872
31,Dourados,-22.221,-54.806,430,33.290061950683594,18.516345977783203,0.0,0.0003319871029816568
32,Eldorado,-23.787,-54.284,342,33.45335388183594,16.536865234375,0.0,0.00026221739244647324
33,Fátima do Sul,-22.374,-54.514,352,33.6854133605957,18.66107177734375,0.0016510949935764074,0.0025074067525565624
34,Figueirão,-18.679,-53.638,396,33.53394317626953,20.545124053955078,0.8391715288162231,0.0028662183322012424
35,Glória de Dourados,-22.418,-54.233,400,33.22844696044922,18.130619049072266,0.0,7.003943028394133e-05
36,Guia Lopes da Laguna,-21.458,-56.114,272,34.547393798828125,19.34529685974121,0.0,0.00017361184291075915
37,Iguatemi,-23.68,-54.561,342,33.29828643798828,16.231708526611328,0.0,0.0
38,Inocência,-19.726,-51.93,502,32.81996154785156,19.54355239868164,1.1485296487808228,0.0043564666993916035
39,Itaporã,-22.079,-54.789,390,33.9645881652832,19.325010299682617,0.0,0.0004904760280624032
40,Itaquiraí,-23.474,-54.185,340,32.91886901855469,17.49631690979004,0.0,0.00101185729727149
41,Ivinhema,-22.305,-53.815,362,33.12336730957031,19.062833786010742,0.0,0.0
42,Japorã,-23.891,-54.404,357,33.47029113769531,16.6202449798584,0.0,0.00020281344768591225
43,Jaraguari,-20.142,-54.399,589,31.669267654418945,18.77658462524414,0.13363365828990936,0.0018578985473141074
44,Jardim,-21.48,-56.138,259,34.398414611816406,19.526657104492188,0.0,5.350833816919476e-05
45,Jateí,-22.482,-54.303,396,33.18051528930664,17.582094192504883,0.0,0.0
46,Juti,-22.861,-54.603,373,33.54078674316406,17.263416290283203,0.00021842645946890116,0.0002803368552122265
47,Ladário,-19.005,-57.602,114,35.676143646240234,22.111404418945312,0.0,0.0
48,Laguna Carapã,-22.546,-55.15,509,32.95276641845703,17.604774475097656,3.0871051421854645e-05,0.0014433066826313734
49,Maracaju,-21.614,-55.168,384,33.58287811279297,17.883758544921875,0.0,7.014590664766729e-05
50,Miranda,-20.241,-56.378,125,35.519630432128906,19.842315673828125,0.0,0.0
51,Mundo Novo,-23.938,-54.271,324,33.64837646484375,16.973196029663086,0.0,0.0002075736556435004
52,Naviraí,-23.065,-54.191,362,33.33488845825195,18.100778579711914,0.03896737098693848,0.0025417262222617865
53,Nioaque,-21.135,-55.83,200,35.787620544433594,19.991491317749023,2.0911681986035546e-06,0.0005374535685405135
54,Nova Alvorada do Sul,-21.466,-54.384,407,33.4797248840332,18.05564308166504,0.0,0.0007832931587472558
55,Nova Andradina,-22.233,-53.343,380,32.759178161621094,19.51458168029785,0.0,0.0
56,Novo Horizonte do Sul,-22.672,-53.861,320,32.97932434082031,19.03839874267578,0.0,0.0
57,Paranaíba,-19.677,-51.191,374,33.94284439086914,18.553997039794922,0.014723416417837143,6.378241960192099e-05
58,Paranhos,-23.893,-55.431,429,32.82914733886719,18.04562759399414,0.0001832522393669933,0.0011162967421114445
59,Pedro Gomes,-18.101,-54.552,282,34.71699523925781,20.186845779418945,0.001095901126973331,0.00041383536881767213
60,Ponta Porã,-22.536,-55.726,655,31.650611877441406,18.742887496948242,1.0577638022368774e-05,0.0018283609533682466
61,Porto Murtinho,-21.699,-57.883,90,36.845550537109375,17.225969314575195,0.015181298367679119,0.00140559917781502
62,Ribas do Rio Pardo,-20.443,-53.759,369,33.88562774658203,19.015254974365234,0.024460576474666595,0.002624988090246916
63,Rio Brilhante,-21.802,-54.546,312,33.98082733154297,17.929954528808594,7.538073987234384e-05,7.003096106927842e-05
64,Rio Negro,-19.449,-54.987,279,35.779029846191406,20.899599075317383,0.002791650127619505,0.00018361816182732582
65,Rio Verde de Mato Grosso,-18.918,-54.844,330,33.18449783325195,20.68002700805664,0.8336867690086365,0.0020904168486595154
66,Rochedo,-19.953,-54.893,260,35.193450927734375,19.400426864624023,0.0480964370071888,0.0009965876815840602
67,Santa Rita do Pardo,-21.303,-52.831,360,33.252235412597656,19.93946075439453,0.0,0.0
68,São Gabriel do Oeste,-19.395,-54.566,658,31.370344161987305,18.869741439819336,0.3084254860877991,0.0017358625773340464
69,Selvíria,-20.367,-51.419,357,33.95342254638672,19.47626304626465,0.0,0.0
70,Sete Quedas,-23.97,-55.036,407,32.55781555175781,16.3563232421875,0.00014412839664146304,0.00022990240540821105
71,Sidrolândia,-20.932,-54.961,484,33.438140869140625,18.229907989501953,0.00014486967120319605,0.0041018640622496605
72,Sonora,-17.577,-54.758,442,33.209938049316406,20.36737632751465,0.5150408148765564,0.0012865237658843398
73,Tacuru,-23.633,-55.016,372,32.582862854003906,16.315523147583008,0.006063409149646759,0.0008824974065646529
74,Taquarussu,-22.488,-53.351,276,33.133270263671875,19.753324508666992,0.0,0.0
75,Terenos,-20.442,-54.86,437,34.42265319824219,19.82843780517578,0.0007233559153974056,0.0016155223129317164
76,Três Lagoas,-20.751,-51.678,319,34.16978073120117,20.004240036010742,0.0,0.0001656009117141366
77,Vicentina,-22.409,-54.436,368,33.510658264160156,19.700153350830078,0.000604803382884711,0.0017372872680425644
