,Cidade,latitude,longitude,altitude,maxtemp,mintemp,acumpre,nebulos,maxtemp,mintemp,acumpre,nebulos
0,Água Clara,-20.448,-52.878,303,35.47097396850586,20.794769287109375,0.25493136048316956,0.0021276369225233793,34.280296325683594,19.695178985595703,2.27552172873402e-05,0.0008890095050446689
1,Alcinópolis,-18.324,-53.706,443,33.95883560180664,22.382543563842773,0.04795074462890625,0.00042474170913919806,33.587520599365234,20.791715621948242,2.6572601795196533,0.0042924294248223305
2,Amambai,-23.104,-55.226,480,33.62213134765625,19.36773681640625,0.0,0.0,32.47240447998047,17.37516975402832,0.0,8.807901758700609e-05
3,Anastácio,-20.484,-55.807,160,37.6300048828125,25.334671020507812,0.036814555525779724,0.0020311728585511446,36.116451263427734,19.739177703857422,0.0,0.0
4,Anaurilândia,-22.188,-52.718,312,33.482566833496094,20.857276916503906,0.0,0.0,32.594810485839844,20.401138305664062,0.0,0.0005830691079609096
5,Angélica,-22.153,-53.771,358,34.73691177368164,19.327119827270508,0.005219797138124704,0.0014176805270835757,33.618045806884766,18.29116439819336,9.942986025635037e-07,0.0007786994683556259
6,Antônio João,-22.191,-55.948,681,33.52610778808594,22.000967025756836,0.0,0.0,31.93531608581543,20.578142166137695,0.0,0.0006412098882719874
7,Aparecida do Taboado,-20.087,-51.094,392,33.22907257080078,21.31142234802246,0.0,0.0,33.16966247558594,18.87939453125,0.0005340627394616604,0.00030630125547759235
8,Aquidauana,-20.471,-55.787,147,37.6300048828125,25.334671020507812,0.036814555525779724,0.0020311728585511446,36.116451263427734,19.739177703857422,0.0,0.0
9,Aral Moreira,-22.934,-55.635,609,34.01878356933594,22.185293197631836,0.0,0.00015748009900562465,32.45729446411133,19.753433227539062,0.0005096588283777237,0.001675960374996066
10,Bandeirantes,-19.918,-54.364,629,32.86142349243164,21.568151473999023,0.09848762303590775,0.0012496057897806168,32.65321350097656,19.986677169799805,0.0004848988028243184,0.00047285325126722455
11,Bataguassu,-21.714,-52.422,329,34.51908874511719,19.830366134643555,0.0,0.0,33.411415100097656,19.240245819091797,0.0,0.0
12,Bataiporã,-22.295,-53.271,334,34.00627136230469,19.103328704833984,1.4455154996539932e-05,0.000522851012647152,32.986724853515625,18.84134292602539,0.0,0.0
13,Bela Vista,-22.109,-56.521,180,37.02613830566406,21.682104110717773,0.0,0.0,35.48296356201172,17.99970054626465,0.0,0.0003094892017543316
14,Bodoquena,-20.539,-56.715,132,35.826881408691406,23.791759490966797,0.0,0.0,34.25099182128906,21.28740119934082,0.0,0.0
15,Bonito,-21.121,-56.482,315,35.25794982910156,22.094388961791992,0.0,0.0,33.51662063598633,18.305700302124023,0.0,0.0
16,Brasilândia,-21.256,-52.037,343,35.08973693847656,19.088146209716797,0.0,0.0,34.070091247558594,18.381948471069336,0.0,0.0002294974256074056
17,Caarapó,-22.634,-54.822,471,33.86077117919922,20.7108211517334,3.0335038900375366e-05,0.0005404726252891123,32.49224853515625,18.4122257232666,0.01890398934483528,0.002233788138255477
18,Camapuã,-19.531,-54.044,409,33.53984069824219,21.958782196044922,1.3415007591247559,0.00641154358163476,32.901119232177734,20.636396408081055,0.17692264914512634,0.000560782034881413
19,Campo Grande,-20.443,-54.646,532,32.60674285888672,24.332700729370117,0.4479677677154541,0.0055063143372535706,32.768218994140625,20.43895721435547,1.1743351933546364e-05,0.0006290326709859073
20,Caracol,-22.014,-57.024,212,36.51491165161133,25.40006446838379,0.0049639553762972355,0.001360822468996048,34.86302185058594,18.371145248413086,0.0,7.878767792135477e-05
21,Cassilândia,-19.113,-51.734,470,33.265785217285156,20.53544807434082,14.95949649810791,0.03310583904385567,33.01055145263672,19.256534576416016,0.4500480890274048,0.0028064416255801916
22,Chapadão do Sul,-18.794,-52.623,790,30.44830894470215,19.606624603271484,9.759498596191406,0.010471454821527004,29.94209098815918,19.406124114990234,9.863382339477539,0.01002340205013752
23,Corguinho,-19.832,-54.829,320,34.75291442871094,22.872760772705078,0.26651790738105774,0.003909222781658173,35.225196838378906,19.391748428344727,1.2953399163961876e-05,0.00023654926917515695
24,Coronel Sapucaia,-23.272,-55.529,510,33.455413818359375,20.485139846801758,0.0,0.0,31.9776668548584,17.1151180267334,0.02838442102074623,0.0018954111728817225
25,Corumbá,-19.009,-57.653,118,36.75124740600586,24.33327293395996,0.29101336002349854,0.0006303929258137941,35.63427734375,21.911834716796875,0.0,0.0
26,Costa Rica,-18.544,-53.129,641,30.38648223876953,19.55442237854004,0.9858394861221313,0.003387548727914691,30.948890686035156,19.18482780456543,1.0589686632156372,0.0015198744367808104
27,Coxim,-18.507,-54.76,238,35.952606201171875,21.869966506958008,0.6475337147712708,0.0010095291072502732,35.52109909057617,19.91908836364746,0.0002951481146737933,0.0007891958230175078
28,Deodápolis,-22.276,-54.165,418,34.86149597167969,21.269304275512695,4.4467094994615763e-05,0.0005683251656591892,33.34295654296875,19.334096908569336,1.1716414519469254e-05,0.0013543833047151566
29,Dois Irmãos do Buriti,-20.68,-55.296,320,36.03490447998047,23.10497283935547,0.15824611485004425,0.006872104946523905,35.51926803588867,19.306493759155273,0.0023124043364077806,0.0021126307547092438
30,Douradina,-22.04,-54.613,553,35.495975494384766,19.32560920715332,1.6757639969000593e-05,0.0010249258484691381,34.23646545410156,18.902420043945312,0.0,0.0004721631994470954
31,Dourados,-22.221,-54.806,430,34.59980773925781,21.233495712280273,1.172679549199529e-05,0.00023655661789234728,33.290061950683594,18.516345977783203,0.0,0.0003734854981303215
32,Eldorado,-23.787,-54.284,342,34.370330810546875,19.95777130126953,7.950200233608484e-05,0.0003738833765964955,33.45335388183594,16.536865234375,0.0,7.881561759859324e-05
33,Fátima do Sul,-22.374,-54.514,352,35.237464904785156,19.85462188720703,0.0,0.0,33.6854133605957,18.66107177734375,0.0016510949935764074,0.0028208326548337936
34,Figueirão,-18.679,-53.638,396,34.18019104003906,21.459470748901367,0.3952040672302246,0.002431744709610939,33.53394317626953,20.545124053955078,0.589581310749054,0.0016919841291382909
